rang,nom,equipe,is_goalie,valeur
169,Will Cuylle,NYR,0,50
170,Cole Hutson,WSH,0,50
171,Matt Coronato,CGY,0,50
172,Mats Zuccarello,LAK,0,50
173,Collin Graf,SJS,0,50
174,Jordan Eberle,SEA,0,50
175,Josh Norris,BUF,0,50
176,Simon Holmstrom,NYI,0,49
177,Christian Dvorak,PHI,0,49
178,Morgan Frost,CGY,0,49
179,Rasmus Andersson,VGK,0,49
180,Easton Cowan,TOR,0,48
181,Kyle Palmieri,NYI,0,48
182,Alex Ovechkin,WSH,0,48
183,Patrick Kane,CHI,0,48
184,Nazem Kadri,COL,0,48
185,Thomas Harley,DAL,0,48
186,Jake DeBrusk,VAN,0,48
187,William Karlsson,VGK,0,48
188,Casey Mittelstadt,BOS,0,47
189,Seth Jones,FLA,0,47
190,Timo Meier,NJD,0,47
191,Tommy Novak,PIT,0,47
192,Jordan Kyrou,WSH,0,47
193,Ryan Hartman,MIN,0,47
194,Pavel Buchnevich,STL,0,47
195,Brandt Clarke,LAK,0,47
196,Michael Misa,SJS,0,47
197,Ivar Stenberg,SJS,0,47
198,Ridly Greig,OTT,0,46
199,Taylor Hall,CAR,0,46
200,Dawson Mercer,NJD,0,46
201,Teuvo Teravainen,CHI,0,46
202,Jake Neighbours,STL,0,46
203,Alex Laferriere,LAK,0,46
204,Igor Chernyshov,SJS,0,46
205,Brandon Montour,SEA,0,46
206,Fraser Minten,BOS,0,45
207,Calum Ritchie,NYI,0,45
208,Egor Chinakhov,PIT,0,45
209,Anton Frondell,CHI,0,45
210,Devon Toews,COL,0,45
211,Cole Perfetti,WPG,0,45
212,Joel Farabee,CGY,0,45
213,Vasily Podkolzin,EDM,0,45
214,Matthew Savoie,EDM,0,45
215,Linus Karlsson,VAN,0,45
216,Andrew Copp,DET,0,44
217,Connor Brown,NJD,0,44
218,Arseny Gritsyuk,NJD,0,44
219,Jamie Benn,DAL,0,44
220,Mackie Samoskevich,SEA,0,44
221,Filip Hronek,VAN,0,44
222,Owen Power,BUF,0,43
223,Gage Goncalves,TBL,0,43
224,Dougie Hamilton,NJD,0,43
225,Noah Cates,PHI,0,43
226,Tyler Toffoli,SJS,0,43
227,Bobby McMann,SEA,0,43
228,Claude Giroux,OTT,0,42
229,Thomas Chabot,OTT,0,42
230,Alexander Nikishin,CAR,0,42
231,Sean Monahan,CBJ,0,42
232,Denton Mateychuk,CBJ,0,42
233,Oliver Bjorkstrand,NYR,0,42
234,Jaden Schwartz,COL,0,42
235,Tyler Seguin,DAL,0,42
236,Blake Coleman,MIN,0,42
237,Lawson Crouse,UTA,0,42
238,Mikael Backlund,CGY,0,42
239,Peyton Krebs,BUF,0,41
240,Anthony DeAngelo,NYI,0,41
241,Jamie Drysdale,PHI,0,41
242,Alexander Wennberg,SJS,0,41
243,Shane Wright,SEA,0,41
244,Vince Dunn,SEA,0,41
245,Brayden Schenn,NYI,0,41
246,Conor Garland,CBJ,0,41
247,Evan Rodrigues,NJD,0,40
248,Emil Heineman,NYI,0,40
249,Sean Durzi,NYR,0,40
250,Bobby Brink,MIN,0,40
251,Anders Lee,UTA,0,40
252,Mattias Ekholm,EDM,0,40
253,Braeden Bowman,VGK,0,40
254,Noah Ostlund,BUF,0,39
255,Justin Faulk,DET,0,39
256,Conor Geekie,TBL,0,39
257,Victor Hedman,TBL,0,39
258,K'Andre Miller,CAR,0,39
259,Dmitri Voronkov,CBJ,0,39
260,Benjamin Kindel,PIT,0,39
261,Jonathan Marchessault,NSH,0,39
262,Ryan Poehling,ANA,0,39
263,Trevor Moore,LAK,0,39
264,Berkly Catton,SEA,0,39
265,Zeev Buium,VAN,0,39
266,Konsta Helenius,BUF,0,38
267,Kirby Dach,MTL,0,38
268,Fabian Zetterlund,OTT,0,38
269,Jack Roslovic,TOR,0,38
270,Matias Maccelli,NYI,0,38
271,Andrei Kuzmenko,PIT,0,38
272,Nicholas Robertson,PIT,0,38
273,Ryan Donato,CHI,0,38
274,Sam Steel,DAL,0,38
275,Danila Yurov,MIN,0,38
276,Philip Broberg,STL,0,38
277,Mackenzie Weegar,UTA,0,38
278,Zayne Parekh,CGY,0,38
279,Jake Walman,EDM,0,38
280,Kiefer Sherwood,SJS,0,38
